"Date","State","Ethnicity","Cases","Deaths","Hospitalizations","Tests"
"2020-12-27","MA","Hispanic",76481,861,2406,NA
"2020-12-27","MA","NonHispanic",169852,10960,11549,NA
"2020-12-27","MA","Unknown",106403,289,1950,NA
"2020-12-27","MD","Hispanic",46855,562,NA,NA
"2020-12-27","MD","NonHispanic",181546,5093,NA,NA
"2020-12-27","MD","Unknown",38797,57,NA,NA
"2020-12-27","ME","Hispanic",417,2,16,NA
"2020-12-27","ME","NonHispanic",16253,220,879,NA
"2020-12-27","ME","Unknown",5210,101,129,NA
"2020-12-27","MI","Hispanic",26727,334,NA,NA
"2020-12-27","MI","NonHispanic",325831,10074,NA,NA
"2020-12-27","MI","Unknown",163768,2282,NA,NA
"2020-12-27","MN","Hispanic",36923,160,1867,NA
"2020-12-27","MN","NonHispanic",333861,4863,18019,NA
"2020-12-27","MN","Unknown",38277,124,1429,NA
"2020-12-27","MO","Hispanic",13831,108,NA,NA
"2020-12-27","MO","NonHispanic",189480,3954,NA,NA
"2020-12-27","MO","Unknown",178783,1250,NA,NA
"2020-12-27","MP","Hispanic",NA,NA,NA,NA
"2020-12-27","MP","NonHispanic",NA,NA,NA,NA
"2020-12-27","MP","Unknown",NA,NA,NA,NA
"2020-12-27","MS","Hispanic",4654,50,NA,NA
"2020-12-27","MS","NonHispanic",132182,3751,NA,NA
"2020-12-27","MS","Unknown",69552,805,NA,NA
"2020-12-27","MT","Hispanic",1768,NA,NA,NA
"2020-12-27","MT","NonHispanic",46612,NA,NA,NA
"2020-12-27","MT","Unknown",12914,NA,NA,NA
"2020-12-27","NC","Hispanic",83247,461,NA,NA
"2020-12-27","NC","NonHispanic",251369,5227,NA,NA
"2020-12-27","NC","Unknown",182212,861,NA,NA
"2020-12-27","ND","Hispanic",NA,NA,NA,NA
"2020-12-27","ND","NonHispanic",NA,NA,NA,NA
"2020-12-27","ND","Unknown",91466,1271,NA,NA
"2020-12-27","NE","Hispanic",20870,142,972,NA
"2020-12-27","NE","NonHispanic",69369,862,2979,NA
"2020-12-27","NE","Unknown",71735,555,1157,NA
"2020-12-27","NH","Hispanic",2465,19,86,NA
"2020-12-27","NH","NonHispanic",22148,589,750,NA
"2020-12-27","NH","Unknown",16196,100,59,NA
"2020-12-27","NJ","Hispanic",93110,3616,11994,NA
"2020-12-27","NJ","NonHispanic",242152,14545,30821,NA
"2020-12-27","NJ","Unknown",125959,469,3558,NA
"2020-12-27","NM","Hispanic",55628,783,2891,NA
"2020-12-27","NM","NonHispanic",45734,1336,4492,NA
"2020-12-27","NM","Unknown",36606,227,1883,NA
"2020-12-27","NV","Hispanic",59815,646,NA,102551
"2020-12-27","NV","NonHispanic",102239,1957,NA,531199
"2020-12-27","NV","Unknown",55455,349,NA,512538
"2020-12-27","NY","Hispanic",NA,8514,21020,NA
"2020-12-27","NY","NonHispanic",NA,24826,38090,NA
"2020-12-27","NY","Unknown",922145,4418,30885,NA
"2020-12-27","OH","Hispanic",21560,163,1370,NA
"2020-12-27","OH","NonHispanic",401884,7448,30103,NA
"2020-12-27","OH","Unknown",247081,898,5313,NA
"2020-12-27","OK","Hispanic",31264,127,NA,NA
"2020-12-27","OK","NonHispanic",168771,1912,NA,NA
"2020-12-27","OK","Unknown",79104,331,NA,NA
"2020-12-27","OR","Hispanic",30839,150,1355,NA
"2020-12-27","OR","NonHispanic",51348,893,3775,NA
"2020-12-27","OR","Unknown",27538,384,1038,NA
"2020-12-27","PA","Hispanic",146746,672,NA,NA
"2020-12-27","PA","NonHispanic",39135,14046,NA,NA
"2020-12-27","PA","Unknown",424144,292,NA,NA
"2020-12-27","PR","Hispanic",NA,NA,NA,NA
"2020-12-27","PR","NonHispanic",NA,NA,NA,NA
"2020-12-27","PR","Unknown",NA,NA,NA,NA
"2020-12-27","RI","Hispanic",22246,147,1404,42026
"2020-12-27","RI","NonHispanic",40117,1272,3091,192362
"2020-12-27","RI","Unknown",19703,285,1636,379451
"2020-12-27","SC","Hispanic",18857,142,726,NA
"2020-12-27","SC","NonHispanic",171727,3766,11028,NA
"2020-12-27","SC","Unknown",105595,1247,2221,NA
"2020-12-27","SD","Hispanic",3262,15,133,NA
"2020-12-27","SD","NonHispanic",83593,1327,5076,NA
"2020-12-27","SD","Unknown",10535,104,352,NA
"2020-12-27","TN","Hispanic",38805,212,NA,NA
"2020-12-27","TN","NonHispanic",330356,5703,NA,NA
"2020-12-27","TN","Unknown",194919,597,NA,NA
"2020-12-27","TX","Hispanic",26322,13480,NA,NA
"2020-12-27","TX","NonHispanic",33028,12909,NA,NA
"2020-12-27","TX","Unknown",1609247,83,NA,NA
"2020-12-27","UT","Hispanic",61250,208,2593,215031
"2020-12-27","UT","NonHispanic",176608,936,7738,1220910
"2020-12-27","UT","Unknown",27016,70,253,246367
"2020-12-27","VA","Hispanic",56173,389,3842,NA
"2020-12-27","VA","NonHispanic",207763,4305,13174,NA
"2020-12-27","VA","Unknown",69640,160,532,NA
"2020-12-27","VI","Hispanic",NA,NA,NA,NA
"2020-12-27","VI","NonHispanic",NA,NA,NA,NA
"2020-12-27","VI","Unknown",1979,23,NA,NA
"2020-12-27","VT","Hispanic",148,0,NA,NA
"2020-12-27","VT","NonHispanic",5800,116,NA,NA
"2020-12-27","VT","Unknown",1081,11,NA,NA
"2020-12-27","WA","Hispanic",47359,419,2215,NA
"2020-12-27","WA","NonHispanic",79532,2758,6455,NA
"2020-12-27","WA","Unknown",91980,7,5426,NA
"2020-12-27","WI","Hispanic",298,310,2057,NA
"2020-12-27","WI","NonHispanic",342272,4377,17854,NA
"2020-12-27","WI","Unknown",84775,352,918,NA
"2020-12-27","WV","Hispanic",NA,NA,NA,NA
"2020-12-27","WV","NonHispanic",NA,NA,NA,NA
"2020-12-27","WV","Unknown",NA,NA,NA,NA
"2020-12-27","WY","Hispanic",3361,23,NA,NA
"2020-12-27","WY","NonHispanic",25517,322,NA,NA
"2020-12-27","WY","Unknown",17062,28,NA,NA
"2020-12-23","AK","Hispanic",2601,5,45,NA
"2020-12-23","AK","NonHispanic",23321,161,698,NA
"2020-12-23","AK","Unknown",18906,31,218,NA
"2020-12-23","AL","Hispanic",10127,94,NA,NA
"2020-12-23","AL","NonHispanic",115822,3243,NA,NA
"2020-12-23","AL","Unknown",208620,1250,NA,NA
"2020-12-23","AR","Hispanic",25369,132,NA,NA
"2020-12-23","AR","NonHispanic",182572,3244,NA,NA
"2020-12-23","AR","Unknown",0,0,NA,NA
"2020-12-23","AS","Hispanic",NA,NA,NA,NA
"2020-12-23","AS","NonHispanic",NA,NA,NA,NA
"2020-12-23","AS","Unknown",NA,NA,NA,NA
"2020-12-23","AZ","Hispanic",137781,2352,11598,NA
"2020-12-23","AZ","NonHispanic",212721,4990,20608,NA
"2020-12-23","AZ","Unknown",122771,837,1906,NA
"2020-12-23","CA","Hispanic",789553,10887,NA,NA
"2020-12-23","CA","NonHispanic",618767,11953,NA,NA
"2020-12-23","CA","Unknown",555756,257,NA,NA
"2020-12-23","CO","Hispanic",92576,928,NA,NA
"2020-12-23","CO","NonHispanic",142014,3201,NA,NA
"2020-12-23","CO","Unknown",81910,333,NA,NA
"2020-12-23","CT","Hispanic",29023,540,NA,NA
"2020-12-23","CT","NonHispanic",79784,5114,NA,NA
"2020-12-23","CT","Unknown",61898,82,NA,NA
"2020-12-23","DC","Hispanic",6105,98,NA,NA
"2020-12-23","DC","NonHispanic",18826,641,NA,NA
"2020-12-23","DC","Unknown",2295,12,NA,NA
"2020-12-23","DE","Hispanic",9405,61,NA,39864
"2020-12-23","DE","NonHispanic",40025,810,NA,387461
"2020-12-23","DE","Unknown",2805,1,NA,62923
"2020-12-23","FL","Hispanic",379914,5088,16333,NA
"2020-12-23","FL","NonHispanic",557662,14302,41283,NA
"2020-12-23","FL","Unknown",296823,1783,4001,NA
"2020-12-23","GA","Hispanic",61539,567,NA,NA
"2020-12-23","GA","NonHispanic",314723,8925,NA,NA
"2020-12-23","GA","Unknown",147793,1027,NA,NA
"2020-12-23","GU","Hispanic",NA,NA,NA,NA
"2020-12-23","GU","NonHispanic",NA,NA,NA,NA
"2020-12-23","GU","Unknown",NA,121,NA,NA
"2020-12-23","HI","Hispanic",NA,NA,NA,NA
"2020-12-23","HI","NonHispanic",NA,NA,NA,NA
"2020-12-23","HI","Unknown",NA,10,618,NA
"2020-12-23","IA","Hispanic",18992,103,NA,NA
"2020-12-23","IA","NonHispanic",157359,3565,NA,NA
"2020-12-23","IA","Unknown",94958,0,NA,NA
"2020-12-23","ID","Hispanic",14127,137,NA,NA
"2020-12-23","ID","NonHispanic",52383,1180,NA,NA
"2020-12-23","ID","Unknown",67475,7,NA,NA
"2020-12-23","IL","Hispanic",169816,2553,NA,895874
"2020-12-23","IL","NonHispanic",452240,12492,NA,5852776
"2020-12-23","IL","Unknown",296014,1797,NA,5939421
"2020-12-23","IN","Hispanic",30143,172,NA,98178
"2020-12-23","IN","NonHispanic",234718,3810,NA,1201868
"2020-12-23","IN","Unknown",211677,3663,NA,1256447
"2020-12-23","KS","Hispanic",30678,194,1056,71317
"2020-12-23","KS","NonHispanic",123712,1995,4781,515147
"2020-12-23","KS","Unknown",55299,318,587,375740
"2020-12-23","KY","Hispanic",9895,51,NA,NA
"2020-12-23","KY","NonHispanic",168388,2123,NA,NA
"2020-12-23","KY","Unknown",69778,292,NA,NA
"2020-12-23","LA","Hispanic",NA,188,NA,NA
"2020-12-23","LA","NonHispanic",NA,6727,NA,NA
"2020-12-23","LA","Unknown",293934,311,NA,NA
"2020-12-23","MA","Hispanic",69879,829,2356,NA
"2020-12-23","MA","NonHispanic",151806,10622,11229,NA
"2020-12-23","MA","Unknown",114303,436,1787,NA
"2020-12-23","MD","Hispanic",45643,552,NA,NA
"2020-12-23","MD","NonHispanic",174795,4961,NA,NA
"2020-12-23","MD","Unknown",37424,55,NA,NA
"2020-12-23","ME","Hispanic",400,2,16,NA
"2020-12-23","ME","NonHispanic",15397,220,879,NA
"2020-12-23","ME","Unknown",4694,89,105,NA
"2020-12-23","MI","Hispanic",26409,328,NA,NA
"2020-12-23","MI","NonHispanic",321336,9860,NA,NA
"2020-12-23","MI","Unknown",160704,2227,NA,NA
"2020-12-23","MN","Hispanic",36422,158,1805,NA
"2020-12-23","MN","NonHispanic",328353,4693,17166,NA
"2020-12-23","MN","Unknown",37744,120,1992,NA
"2020-12-23","MO","Hispanic",13635,107,NA,NA
"2020-12-23","MO","NonHispanic",359906,3904,NA,NA
"2020-12-23","MO","Unknown",174911,1242,NA,NA
"2020-12-23","MP","Hispanic",NA,NA,NA,NA
"2020-12-23","MP","NonHispanic",NA,NA,NA,NA
"2020-12-23","MP","Unknown",NA,NA,NA,NA
"2020-12-23","MS","Hispanic",4605,50,NA,NA
"2020-12-23","MS","NonHispanic",130562,3733,NA,NA
"2020-12-23","MS","Unknown",65158,750,NA,NA
"2020-12-23","MT","Hispanic",1755,NA,NA,NA
"2020-12-23","MT","NonHispanic",45922,NA,NA,NA
"2020-12-23","MT","Unknown",30845,NA,NA,NA
"2020-12-23","NC","Hispanic",80985,445,NA,NA
"2020-12-23","NC","NonHispanic",241727,5088,NA,NA
"2020-12-23","NC","Unknown",171799,827,NA,NA
"2020-12-23","ND","Hispanic",NA,NA,NA,NA
"2020-12-23","ND","NonHispanic",NA,NA,NA,NA
"2020-12-23","ND","Unknown",90723,1249,NA,NA
"2020-12-23","NE","Hispanic",20576,139,969,NA
"2020-12-23","NE","NonHispanic",67727,834,2994,NA
"2020-12-23","NE","Unknown",71359,588,1101,NA
"2020-12-23","NH","Hispanic",2217,19,86,NA
"2020-12-23","NH","NonHispanic",21018,565,747,NA
"2020-12-23","NH","Unknown",15277,93,59,NA
"2020-12-23","NJ","Hispanic",90196,3616,11860,NA
"2020-12-23","NJ","NonHispanic",232008,14545,30394,NA
"2020-12-23","NJ","Unknown",122934,305,3553,NA
"2020-12-23","NM","Hispanic",52963,783,2891,NA
"2020-12-23","NM","NonHispanic",44034,1336,4492,NA
"2020-12-23","NM","Unknown",36245,124,1624,NA
"2020-12-23","NV","Hispanic",58198,625,NA,99651
"2020-12-23","NV","NonHispanic",97433,1904,NA,518178
"2020-12-23","NV","Unknown",54331,342,NA,506358
"2020-12-23","NY","Hispanic",NA,8437,20232,NA
"2020-12-23","NY","NonHispanic",NA,24432,36837,NA
"2020-12-23","NY","Unknown",878702,4253,32926,NA
"2020-12-23","OH","Hispanic",20917,160,1362,NA
"2020-12-23","OH","NonHispanic",387302,7333,29462,NA
"2020-12-23","OH","Unknown",236603,868,5201,NA
"2020-12-23","OK","Hispanic",29401,120,NA,NA
"2020-12-23","OK","NonHispanic",153431,1754,NA,NA
"2020-12-23","OK","Unknown",86444,409,NA,NA
"2020-12-23","OR","Hispanic",30680,150,1347,NA
"2020-12-23","OR","NonHispanic",50947,887,3742,NA
"2020-12-23","OR","Unknown",24343,366,1033,NA
"2020-12-23","PA","Hispanic",37439,637,NA,NA
"2020-12-23","PA","NonHispanic",140401,12971,NA,NA
"2020-12-23","PA","Unknown",403316,834,NA,NA
"2020-12-23","PR","Hispanic",NA,NA,NA,NA
"2020-12-23","PR","NonHispanic",NA,NA,NA,NA
"2020-12-23","PR","Unknown",NA,NA,NA,NA
"2020-12-23","RI","Hispanic",22246,147,1404,42026
"2020-12-23","RI","NonHispanic",40117,1272,3091,192362
"2020-12-23","RI","Unknown",19703,285,1636,379451
"2020-12-23","SC","Hispanic",18365,141,721,NA
"2020-12-23","SC","NonHispanic",164186,3677,10792,NA
"2020-12-23","SC","Unknown",99679,1210,2159,NA
"2020-12-23","SD","Hispanic",3237,14,132,NA
"2020-12-23","SD","NonHispanic",82397,1272,5011,NA
"2020-12-23","SD","Unknown",10406,103,349,NA
"2020-12-23","TN","Hispanic",38087,209,NA,NA
"2020-12-23","TN","NonHispanic",313417,5513,NA,NA
"2020-12-23","TN","Unknown",189736,658,NA,NA
"2020-12-23","TX","Hispanic",26198,12899,NA,NA
"2020-12-23","TX","NonHispanic",32666,12039,NA,NA
"2020-12-23","TX","Unknown",1577594,962,NA,NA
"2020-12-23","UT","Hispanic",60307,207,2548,210983
"2020-12-23","UT","NonHispanic",171001,920,7530,1192623
"2020-12-23","UT","Unknown",26389,69,249,242980
"2020-12-23","VA","Hispanic",54912,379,3814,NA
"2020-12-23","VA","NonHispanic",198292,4226,12946,NA
"2020-12-23","VA","Unknown",65929,155,511,NA
"2020-12-23","VI","Hispanic",NA,NA,NA,NA
"2020-12-23","VI","NonHispanic",NA,NA,NA,NA
"2020-12-23","VI","Unknown",1950,23,NA,NA
